Clause,Clause Type
"mutual confidentiality non disclosure agreement confidentiality nondisclosure agreement agreement date april effective date enter company incorporate provision company act have principal place business hereinafter refer","Confidentiality Clause"
"expression shall mean include parent affiliate sister concern subsidiary assign company incorporate provision company have principal place business","Definition Clause"
"hereinafter refer company expression shall mean include parent affiliate sister concern subsidiary assign purpose party disclose certain confidential technical business information order avail gsp service company","Definition Clause"
"protect say confidential information party desire sign non","Non-Disclosure Clause"
"disclosure confidential information party disclose party orally record medium information comprise relate affiliate parent sister concern group company technique schematic design contract financial information sale marketing plan business plan client client datum business affair operation strategy invention methodology technologie employee subcontractor price service proposal method operation procedure product andor service confidential information","Definition Clause"
"confidential information shall include nonpublic information furnish disclose transmit regardless form","Definition Clause"
"confidentiality party shall use confidential information solely furtherance actual potential business relationship party","Confidentiality Clause"
"party shall use confidential information way directly indirectly detrimental party subsidiary affiliate shall disclose confidential information unauthorized party","Obligations Clause"
"party shall ensure access confidential information grant employee agent representative demonstrate need know information order carry business purpose agreement","Disclosure to Representatives Clause"
"prior disclose confidential information representative party shall inform confidential nature information obligation refrain disclosure confidential information","Disclosure to Representatives Clause"
"party representative reasonable measure maintain confidentiality confidential information event measure use information similar type","Obligations Clause"
"party representative shall disclose person include limitation corporation sovereign partnership limited liability company entity individual fact investigation discussion negotiation take place concern actual potential business relationship party ii request receive confidential information iii term condition fact actual potential business relationship","Disclosure to Representatives Clause"
"party representative immediately notify party use disclosure confidential information authorize agreement","Breach and Remedies Clause"
"party representative use good effort assist party remedy unauthorized use disclosure confidential information","Breach and Remedies Clause"
"party shall implement follow rule lay information technology reasonable security practice procedure sensitive personal datum information rule rule","Obligations Clause"
"party shall monitor security practice control process check place respect confidential information regular basis disclose breach security practice control process check place party","Breach and Remedies Clause"
"obligation contain section apply extent party demonstrate confidential information public domain time disclosure properly public domain publication b rightfully acquire receive party prior disclosure disclose party c independently develop receive party representative reference confidential information d require disclose government agency proper court competent jurisdiction provide receive party representative shall provide disclose party prompt prior write notice requirement shall consult assist disclose party obtain protective order prior disclosure shall disclose portion confidential information advise write opinion counsel legally require disclose shall use good effort obtain assurance confidential treatment accord information protective order obtain disclose party waif disclosure information","Exclusion Clause"
"ownership materialsno warranty party retain right title interest confidential information","No License/No Implied Rights Clause"
"license trademark patent copyright application obtain party grant imply disclosure confidential information","No License/No Implied Rights Clause"
"confidential information provide fault","Exclusion Clause"
"event shall party liable accuracy completeness confidential information","Exclusion Clause"
"term agreement shall terminate year effective date","Term and Termination Clause"

"receive partys obligation respect confidentiality shall expire year date disclosure","Confidentiality Clause"
"return confidential information write request party party representative shall promptly return party copy confidential information possession include limitation copy analysis compilation study document prepare receive party representative contain reflect confidential information","Return or Destruction of Information Clause"
"party shall certify write representative return information party","Return or Destruction of Information Clause"
"agreement shall govern construe accordance law india regard conflict law provision","Governing Law and Jurisdiction Clause"
"b party agree breach provision agreement party cause party irreparable damage recovery money damage inadequate","Breach and Remedies Clause"
"party entitle obtain timely injunctive relief protect right agreement addition remedy available law equity","Breach and Remedies Clause"
"receive party representative irrevocably unconditionally consent submit exclusive jurisdiction court bangalore karnataka action suit proceeding arise relate agreement transaction contemplate agree commence action suit proceed relate thereto court agree service process summon notice document register mail track courier service address set forth shall effective service process action suit proceed bring receive party representative court","Governing Law and Jurisdiction Clause"
"party assign right obligation agreement prior write consent party","Successors and Assigns Clause"
"agreement shall bind inure benefit party permit successor assign","Successors and Assigns Clause"
"d agreement amend supplement writing sign duly authorize representative party","Integration or Entire Agreement Clause"
"e term provision hereof consider waive party breach excuse waiver consent writing sign authorized representative nonbreache party","Breach and Remedies Clause"
"consent waiver breach party express imply constitute consent waiver excuse different subsequent breach","Breach and Remedies Clause"
"agreement find invalid unenforceable amend achieve nearly possible economic legal effect original provision remainder agreement remain force","Severability Clause"
"g agreement constitute entire agreement party relate subject matter supersede prior simultaneous representation discussion negotiation agreement write oral","Integration or Entire Agreement Clause"
"agreement execute counterpart shall deem original shall constitute agreement","Counterparts Clause"
"accept agree date write follow authorize party representative","Counterparts Clause"
"title title witness witness","Counterparts Clause"
"title title","Counterparts Clause"
"agreement day month year hereinafter refer employer hereinafter refer employee employee employer wish enter employment agreement govern term condition employment agreement witnesseth consideration premise mutual covenant agreement hereinafter contain acknowledge agree party hereto follow","Definition Clause"
"term employment employment employee shall commence date hereof continue indefinite term terminate accordance provision agreement","Term and Termination Clause"
"probation party hereto agree initial month period agreement probationary following respect employer shall opportunity assess performance attitude skill employmentrelate attribute characteristic employee b","Term and Termination Clause"
"employee shall opportunity learn employer position employment c party terminate employment relationship time initial month period advance notice seven day justifiable reason case continue obligation party financial","Term and Termination Clause"
"compensation benefit consideration service provide hereunder employee term employment shall pay basic salary nu month week applicable statutory deduction","Obligations Clause"
"addition employee entitle receive benefit accordance employer standard benefit package amend time time","Obligations Clause"
"duty responsibility employee shall employ capacity current duty responsibility set annexure annexed hereto form agreement","Obligations Clause"
"duty responsibility amend time time sole discretion employer subject formal notification provide employee","Obligations Clause"
"termination employment subsequent completion probationary term employment refer paragraph employer terminate employment employee time cause common law case employee entitle advance notice termination compensation lieu notice b","Term and Termination Clause"
"employee employer terminate employment time provide atleast seven day notice probationer month advance notice intention terminate contract employment payment lieu thereof","Term and Termination Clause"
"entitlement termination service govern labour employment act regulation law land","Governing Law and Jurisdiction Clause"
"confidentiality employee acknowledge course perform fulfil duty hereunder access entrust confidential information concern present contemplated financial status activity employer disclosure confidential information competitor employer highly detrimental interest employer","Confidentiality Clause"
"employee acknowledge agree right maintain confidentiality information constitute proprietary right employer entitle protect","Confidentiality Clause"
"accordingly employee covenant agree employer continuance agreement disclose confidential information person firm corporation shall use require normal course engagement hereunder shall disclose use","Non-Disclosure Clause"
"assignment transfer contract employment","Successors and Assigns Clause"
"agreement shall assign employer successor employer bind successor employer consent employee","Successors and Assigns Clause"
"employer shall ensure successor employer shall continue provision agreement original party","Successors and Assigns Clause"
"agreement assign employee","Successors and Assigns Clause"
"severability paragraph agreement shall remain separate independent severable paragraph indicate context agreement","Severability Clause"
"decision declaration paragraph null void shall effect remain paragraph agreement","Severability Clause"
"working condition sr right provision remark work hour rest period hour day exclude meal break minimum time rate daily wage pm following morning","Obligations Clause"
"day rest period day work","Obligations Clause"
"public holiday minimum day","Obligations Clause"
"exclude leave entitlement casual annual medical etcboth party agree substitute public holiday public holiday","Obligations Clause"
"leave casual annual leave","Obligations Clause"
"leave provide minimum provide prescribe regulation leave provident fund contribution minimum","Obligations Clause"
"minimum ceiling eligibility shall govern regulation provident fund gratuity eligible completion year continuous employment","Obligations Clause"
"shall calculate basic salary multiply number year service","Obligations Clause"
"ohs equipment personal protective equipment ppe require occupation shall provide free cost employer shall govern regulation force","Obligations Clause"
"notice require give hereunder shall deem properly give deliver personally send prepay register mail follow employee","Communication/Notice Clause"
"address b employer address send registered mail shall deem receive work day uninterrupted postal service follow date mailing","Communication/Notice Clause"
"party change address notice time give notice party pursuant provision agreement","Communication/Notice Clause"
"interpretation agreement validity interpretation construction performance agreement shall govern labour employment act regulation","Governing Law and Jurisdiction Clause"
"agreement shall interpret necessary change gender number context require shall ensure benefit bind respective successor assign party hereto","Successors and Assigns Clause"
"witness whereof party hereto cause agreement execute day month year shall retain copy agreement original","Counterparts Clause"
"affix legal stamp affix legal stamp sign employer sign employee d witness witness","Counterparts Clause"

"d d","Counterparts Clause"
"contact annexure person position responsible","Obligations Clause"
"undertake follow task responsibility countersign party","Obligations Clause"
"job responsibility ii","Obligations Clause"
"v vi signature employee signature employer","Counterparts Clause"
"bosch north america mutual nda rev page mutual nondisclosure agreement subject matter effective date agreement period exchange information period confidentiality","Definition Clause"
"agreement effective date agreement note party","Definition Clause"
"background party desire discussion relate subject matter purpose evaluate possible business relationship purpose","Definition Clause"
"party extend subject matter add additional party execute addenda agreement ii","Integration or Entire Agreement Clause"
"discussion involve disclosure party party confidential proprietary trade secret information licensor confidential information define period exchange information","Confidentiality Clause"
"party recognize value confidential information mutual good interest maintain confidential proprietary secret nature confidential information","Secrecy of Agreement Clause"
"consideration subject matter mutual promise party agree follow","Obligations Clause"
"term confidential information mean nonpublic information relate subject matter disclose party affiliate define agent applicable collectively refer disclosing party directly indirectly write orally inspection premise tangible object party recipient mark confidential proprietary ii give nature information circumstance surround disclosure reasonably deem confidential","Definition Clause"
"confidential information include limit document drawing model apparatus sketch designs schedule product plan marketing plan technical procedure manufacturing process software prototype sample methodology formulation trade secret patent application knowhow experimental result specification business information","Definition Clause"
"period confidentiality nonuse","Confidentiality Clause"
"recipient use confidential information connection purpose set forth agreement","Confidentiality Clause"
"recipient shall use degree care avoid disclosure use confidential information use confidential proprietary trade secret information case use reasonable degree care","Confidentiality Clause"
"recipient agree limit disclosure confidential information employee employee affiliate have specific need know confidential information purpose case affiliate extent affiliate obligation hold information confidence aware term condition","Disclosure to Representatives Clause"
