Clause,Clause Type,Risk Score
"mutual confidentiality non disclosure agreement confidentiality nondisclosure agreement agreement date april effective date enter company incorporate provision company act have principal place business hereinafter refer","Confidentiality Clause","Low"
"expression shall mean include parent affiliate sister concern subsidiary assign company incorporate provision company have principal place business","Definition Clause","Low"
"hereinafter refer company expression shall mean include parent affiliate sister concern subsidiary assign purpose party disclose certain confidential technical business information order avail gsp service company","Definition Clause","Low"
"protect say confidential information party desire sign non","Non-Disclosure Clause","Medium"
"disclosure confidential information party disclose party orally record medium information comprise relate affiliate parent sister concern group company technique schematic design contract financial information sale marketing plan business plan client client datum business affair operation strategy invention methodology technologie employee subcontractor price service proposal method operation procedure product andor service confidential information","Definition Clause","Low"
"confidential information shall include nonpublic information furnish disclose transmit regardless form","Definition Clause","Low"
"confidentiality party shall use confidential information solely furtherance actual potential business relationship party","Confidentiality Clause","Low"
"party shall use confidential information way directly indirectly detrimental party subsidiary affiliate shall disclose confidential information unauthorized party","Obligations Clause","Medium"
"party shall ensure access confidential information grant employee agent representative demonstrate need know information order carry business purpose agreement","Disclosure to Representatives Clause","Low"
"prior disclose confidential information representative party shall inform confidential nature information obligation refrain disclosure confidential information","Disclosure to Representatives Clause","Low"
"party representative reasonable measure maintain confidentiality confidential information event measure use information similar type","Obligations Clause","Low"
"party representative shall disclose person include limitation corporation sovereign partnership limited liability company entity individual fact investigation discussion negotiation take place concern actual potential business relationship party ii request receive confidential information iii term condition fact actual potential business relationship","Disclosure to Representatives Clause","Low"
"party representative immediately notify party use disclosure confidential information authorize agreement","Breach and Remedies Clause","Low"
"party representative use good effort assist party remedy unauthorized use disclosure confidential information","Breach and Remedies Clause","Low"
"party shall implement follow rule lay information technology reasonable security practice procedure sensitive personal datum information rule rule","Obligations Clause","Low"
"party shall monitor security practice control process check place respect confidential information regular basis disclose breach security practice control process check place party","Breach and Remedies Clause","Low"
"obligation contain section apply extent party demonstrate confidential information public domain time disclosure properly public domain publication b rightfully acquire receive party prior disclosure disclose party c independently develop receive party representative reference confidential information d require disclose government agency proper court competent jurisdiction provide receive party representative shall provide disclose party prompt prior write notice requirement shall consult assist disclose party obtain protective order prior disclosure shall disclose portion confidential information advise write opinion counsel legally require disclose shall use good effort obtain assurance confidential treatment accord information protective order obtain disclose party waif disclosure information","Exclusion Clause","Low"
"ownership materialsno warranty party retain right title interest confidential information","No License/No Implied Rights Clause","Low"
"license trademark patent copyright application obtain party grant imply disclosure confidential information","No License/No Implied Rights Clause","Low"
"confidential information provide fault","Exclusion Clause","Low"
"event shall party liable accuracy completeness confidential information","Exclusion Clause","Low"
"term agreement shall terminate year effective date","Term and Termination Clause","High"


"receive partys obligation respect confidentiality shall expire year date disclosure","Confidentiality Clause",Low
"return confidential information write request party party representative shall promptly return party copy confidential information possession include limitation copy analysis compilation study document prepare receive party representative contain reflect confidential information","Return or Destruction of Information Clause",Low
"party shall certify write representative return information party","Return or Destruction of Information Clause",Low
"agreement shall govern construe accordance law india regard conflict law provision","Governing Law and Jurisdiction Clause",Low
"b party agree breach provision agreement party cause party irreparable damage recovery money damage inadequate","Breach and Remedies Clause",Low
"party entitle obtain timely injunctive relief protect right agreement addition remedy available law equity","Breach and Remedies Clause",Low
"receive party representative irrevocably unconditionally consent submit exclusive jurisdiction court bangalore karnataka action suit proceeding arise relate agreement transaction contemplate agree commence action suit proceed relate thereto court agree service process summon notice document register mail track courier service address set forth shall effective service process action suit proceed bring receive party representative court","Governing Law and Jurisdiction Clause",Low
"party assign right obligation agreement prior write consent party","Successors and Assigns Clause",Low
"agreement shall bind inure benefit party permit successor assign","Successors and Assigns Clause",Low
"d agreement amend supplement writing sign duly authorize representative party","Integration or Entire Agreement Clause",Low
"e term provision hereof consider waive party breach excuse waiver consent writing sign authorized representative nonbreache party","Breach and Remedies Clause",Low
"consent waiver breach party express imply constitute consent waiver excuse different subsequent breach","Breach and Remedies Clause",Low
"agreement find invalid unenforceable amend achieve nearly possible economic legal effect original provision remainder agreement remain force","Severability Clause",Low
"g agreement constitute entire agreement party relate subject matter supersede prior simultaneous representation discussion negotiation agreement write oral","Integration or Entire Agreement Clause",Low
"agreement execute counterpart shall deem original shall constitute agreement","Counterparts Clause",Low
"accept agree date write follow authorize party representative","Counterparts Clause",Low
"title title witness witness","Counterparts Clause",Low

"receive partys obligation respect confidentiality shall expire year date disclosure","Confidentiality Clause",Low
"return confidential information write request party party representative shall promptly return party copy confidential information possession include limitation copy analysis compilation study document prepare receive party representative contain reflect confidential information","Return or Destruction of Information Clause",Low
"party shall certify write representative return information party","Return or Destruction of Information Clause",Low
"agreement shall govern construe accordance law india regard conflict law provision","Governing Law and Jurisdiction Clause",Low
"b party agree breach provision agreement party cause party irreparable damage recovery money damage inadequate","Breach and Remedies Clause",Medium
"party entitle obtain timely injunctive relief protect right agreement addition remedy available law equity","Breach and Remedies Clause",Medium
"receive party representative irrevocably unconditionally consent submit exclusive jurisdiction court bangalore karnataka action suit proceeding arise relate agreement transaction contemplate agree commence action suit proceed relate thereto court agree service process summon notice document register mail track courier service address set forth shall effective service process action suit proceed bring receive party representative court","Governing Law and Jurisdiction Clause",Low
"party assign right obligation agreement prior write consent party","Successors and Assigns Clause",Low
"agreement shall bind inure benefit party permit successor assign","Successors and Assigns Clause",Low
"d agreement amend supplement writing sign duly authorize representative party","Integration or Entire Agreement Clause",Low
"e term provision hereof consider waive party breach excuse waiver consent writing sign authorized representative nonbreache party","Breach and Remedies Clause",Medium
"consent waiver breach party express imply constitute consent waiver excuse different subsequent breach","Breach and Remedies Clause",Medium
"agreement find invalid unenforceable amend achieve nearly possible economic legal effect original provision remainder agreement remain force","Severability Clause",Low
"g agreement constitute entire agreement party relate subject matter supersede prior simultaneous representation discussion negotiation agreement write oral","Integration or Entire Agreement Clause",Low
"agreement execute counterpart shall deem original shall constitute agreement","Counterparts Clause",Low
"accept agree date write follow authorize party representative","Counterparts Clause",Low
"title title witness witness","Counterparts Clause",Low

"disclosure require law","No Obligation Clause","Low"
"recipient request order require regulatory agency government authority court disclose confidential information recipient shall promptly notify disclose party request order requirement disclose party opportunity contest disclosure include seek protective order waive recipient compliance agreement","No Obligation Clause","Low"
"recipient opinion counsel compel disclose confidential information liable contempt penalty subject claim party recipient disclose confidential information liability agreement","No Obligation Clause","Medium"
"party shall export directly indirectly confidential information country person entity government time export require export license governmental approval obtain license approval","Obligations Clause","Medium"
"recipient shall obtain write consent bosch north america mutual nda rev page disclose party prior submit request authority export confidential information","Obligations Clause","Medium"
"purpose agreement export occur confidential information transfer country mean include limit physical shipment ftp file transfer email fax oral transfer remote server access export occur confidential information transfer access person citizen permanent resident country transfer access take place","Definition Clause","Low"
"ownership confidential information","Ownership Clause","Low"
"disclose party licensor case retain right confidential information disclose document prototype software development kit sdks similar tangible property embodying contain reflect shall remain property disclose party","Ownership Clause","Low"
"execution agreement disclosure confidential information construe grant expressly implication estoppel license right confidential information intellectual property right embody","No License/No Implied Rights Clause","Medium"
"confidential information provide agreement provide specifically exclude warranty express imply include limitation imply warranty merchantability fitness particular purpose accuracy","Exclusion Clause","Medium"
"disclosing party liable agreement damage connection relate arise use confidential information","Exclusion Clause","Medium"
"agreement shall construe manner obligation enter substantive contract disclose particular confidential information","No Obligation Clause","Low"
"disclose party understand recipient develop develop information internally receive receive information party similar confidential information","No Obligation Clause","Low"
"accordingly agreement shall construe representation recipient independently develop product compete product system contemplate confidential information provide breach term agreement","No Obligation Clause","Low"
"party hereto shall consider independent contractor responsible expense financial obligation incur performance agreement","Obligations Clause","Medium"
"party waive right invention development lawfully possess time sign agreement","No Obligation Clause","Medium"
"addition agreement imply waiver right action patent trademark copyright trade secret unfair competition fair trade related law","No License/No Implied Rights Clause","Medium"
